rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
117,frame_0168.jpg,67.2,0.4068,0.4696,0.2,0.56,12,2,False,False
118,frame_0209.jpg,83.6,0.4062,0.4044,0.2,0.72,11,2,False,False
119,frame_0095.jpg,38.0,0.4042,0.5643,0.3,0.16,15,3,False,False
120,frame_0012.jpg,4.8,0.4028,0.5736,0.2,0.28,7,2,False,False
121,frame_0117.jpg,46.8,0.4023,0.4646,0.3,0.4,18,3,False,False
122,frame_0179.jpg,71.6,0.402,0.516,0.4,0.12,16,4,False,False
123,frame_0014.jpg,5.6,0.4016,0.4792,0.3,0.36,7,3,False,False
124,frame_0185.jpg,74.0,0.3977,0.5234,0.4,0.08,16,4,False,False
125,frame_0321.jpg,128.4,0.3976,0.5832,0.3,0.08,14,3,False,False
126,frame_0221.jpg,88.4,0.3974,0.4588,0.4,0.24,18,4,False,False
127,frame_0098.jpg,39.2,0.3967,0.6574,0.2,0.04,16,2,False,False
128,frame_0004.jpg,1.6,0.3922,0.5884,0.3,0.04,15,3,False,False
129,frame_0110.jpg,44.0,0.3911,0.4942,0.4,0.12,14,4,False,False
130,frame_0381.jpg,152.4,0.3871,0.6981,0.1,0.04,18,1,False,False
131,frame_0206.jpg,82.4,0.3843,0.3446,0.2,0.76,13,2,False,False
132,frame_0298.jpg,119.2,0.3829,0.5338,0.2,0.28,9,2,False,False
133,frame_0028.jpg,11.2,0.3828,0.5536,0.3,0.08,11,3,False,False
134,frame_0090.jpg,36.0,0.3824,0.4408,0.3,0.36,14,3,False,False
135,frame_0308.jpg,123.2,0.3818,0.6276,0.2,0.04,13,2,False,False
136,frame_0081.jpg,32.4,0.3785,0.437,0.4,0.2,12,4,False,False
137,frame_0176.jpg,70.4,0.3746,0.4732,0.3,0.24,15,3,False,False
138,frame_0200.jpg,80.0,0.3728,0.3575,0.3,0.52,8,3,False,False
139,frame_0033.jpg,13.2,0.3721,0.5163,0.3,0.12,16,3,False,False
140,frame_0123.jpg,49.2,0.3695,0.4589,0.2,0.4,14,2,False,False
141,frame_0220.jpg,88.0,0.3659,0.4399,0.3,0.28,13,3,False,False
142,frame_0288.jpg,115.2,0.3647,0.5614,0.2,0.12,12,2,False,False
143,frame_0071.jpg,28.4,0.3639,0.5437,0.2,0.16,14,2,False,False
144,frame_0130.jpg,52.0,0.3629,0.5578,0.2,0.12,13,2,False,False
145,frame_0128.jpg,51.2,0.3607,0.4013,0.4,0.2,15,4,False,False
146,frame_0282.jpg,112.8,0.3586,0.3933,0.3,0.36,9,3,False,False
147,frame_0208.jpg,83.2,0.3584,0.2927,0.2,0.76,11,2,False,False
148,frame_0001.jpg,0.4,0.3576,0.5192,0.3,0.04,16,3,False,False
149,frame_0085.jpg,34.0,0.3574,0.4508,0.2,0.36,12,2,False,False
150,frame_0328.jpg,131.2,0.3569,0.5019,0.3,0.08,21,3,False,False
151,frame_0224.jpg,89.6,0.3565,0.485,0.3,0.12,12,3,False,False
152,frame_0295.jpg,118.0,0.3537,0.5834,0.1,0.16,9,1,False,False
153,frame_0088.jpg,35.2,0.3536,0.3512,0.3,0.44,14,3,False,False
154,frame_0015.jpg,6.0,0.3523,0.4846,0.1,0.4,9,1,False,False
155,frame_0368.jpg,147.2,0.3523,0.5686,0.2,0.04,21,2,False,False
156,frame_0075.jpg,30.0,0.3518,0.5676,0.2,0.04,10,2,False,False
157,frame_0287.jpg,114.8,0.3514,0.5187,0.2,0.16,10,2,False,False
158,frame_0183.jpg,73.2,0.3496,0.5631,0.2,0.04,13,2,False,False
159,frame_0310.jpg,124.0,0.3491,0.5462,0.2,0.08,21,2,False,False
160,frame_0211.jpg,84.4,0.3488,0.3815,0.1,0.64,11,1,False,False
161,frame_0217.jpg,86.8,0.3475,0.355,0.3,0.4,10,3,False,False
162,frame_0304.jpg,121.6,0.3466,0.5252,0.2,0.12,13,2,False,False
163,frame_0377.jpg,150.8,0.3458,0.4955,0.3,0.04,14,3,False,False
164,frame_0105.jpg,42.0,0.3441,0.4161,0.4,0.08,12,4,False,False
165,frame_0132.jpg,52.8,0.3425,0.609,0.1,0.04,13,1,False,False
166,frame_0219.jpg,87.6,0.3422,0.3763,0.3,0.32,11,3,False,False
167,frame_0084.jpg,33.6,0.3413,0.4347,0.2,0.32,13,2,False,False
168,frame_0019.jpg,7.6,0.3396,0.3831,0.2,0.44,9,2,False,False
169,frame_0297.jpg,118.8,0.3392,0.4623,0.2,0.24,11,2,False,False
170,frame_0195.jpg,78.0,0.3386,0.4892,0.1,0.32,8,1,False,False
171,frame_0279.jpg,111.6,0.337,0.41,0.2,0.36,10,2,False,False
172,frame_0016.jpg,6.4,0.3368,0.3776,0.2,0.44,8,2,False,False
173,frame_0114.jpg,45.6,0.3365,0.5011,0.1,0.28,13,1,False,False
174,frame_0097.jpg,38.8,0.3359,0.5198,0.2,0.08,14,2,False,False
175,frame_0385.jpg,154.0,0.3347,0.4574,0.3,0.08,16,3,False,False
176,frame_0373.jpg,149.2,0.3337,0.4233,0.3,0.16,14,3,False,False
177,frame_0375.jpg,150.0,0.3327,0.5573,0.1,0.12,14,1,False,False
178,frame_0096.jpg,38.4,0.3322,0.5563,0.1,0.12,15,1,False,False
179,frame_0289.jpg,115.6,0.3302,0.5085,0.2,0.08,8,2,False,False
180,frame_0013.jpg,5.2,0.33,0.4119,0.2,0.32,9,2,False,False
181,frame_0023.jpg,9.2,0.3284,0.3649,0.3,0.28,11,3,False,False
