rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
173,frame_0370.jpg,148.0,0.4134,0.5536,0.4286,0.04,8,3,False,False
174,frame_0118.jpg,47.2,0.4115,0.4755,0.2857,0.44,5,2,False,False
175,frame_0376.jpg,150.4,0.4114,0.673,0.1429,0.16,7,1,False,False
176,frame_0279.jpg,111.6,0.4112,0.5927,0.1429,0.36,6,1,False,False
177,frame_0268.jpg,107.2,0.4092,0.5292,0.4286,0.08,6,3,False,False
178,frame_0108.jpg,43.2,0.4084,0.5436,0.4286,0.04,8,3,False,False
179,frame_0222.jpg,88.8,0.4078,0.4784,0.4286,0.2,5,3,False,False
180,frame_0298.jpg,119.2,0.4075,0.4196,0.2857,0.56,7,2,False,False
181,frame_0324.jpg,129.6,0.4045,0.5199,0.4286,0.08,5,3,False,False
182,frame_0200.jpg,80.0,0.4041,0.5145,0.1429,0.52,2,1,False,False
183,frame_0225.jpg,90.0,0.4036,0.6038,0.2857,0.08,6,2,False,False
184,frame_0090.jpg,36.0,0.4024,0.4894,0.2857,0.36,5,2,False,False
185,frame_0202.jpg,80.8,0.3995,0.559,0.0,0.6,5,0,False,False
186,frame_0084.jpg,33.6,0.3981,0.3848,0.2857,0.6,4,2,False,False
187,frame_0320.jpg,128.0,0.3965,0.5256,0.2857,0.24,6,2,False,False
188,frame_0175.jpg,70.0,0.3941,0.5904,0.1429,0.28,6,1,False,False
189,frame_0085.jpg,34.0,0.391,0.4722,0.1429,0.56,3,1,False,False
190,frame_0280.jpg,112.0,0.391,0.3648,0.4286,0.4,7,3,False,False
191,frame_0322.jpg,128.8,0.386,0.6222,0.1429,0.16,6,1,False,False
192,frame_0088.jpg,35.2,0.3846,0.5075,0.1429,0.44,5,1,False,False
193,frame_0221.jpg,88.4,0.384,0.4148,0.4286,0.24,7,3,False,False
194,frame_0019.jpg,7.6,0.3833,0.3666,0.0,1.0,2,0,False,False
195,frame_0309.jpg,123.6,0.3821,0.5447,0.2857,0.12,5,2,False,False
196,frame_0111.jpg,44.4,0.3808,0.6119,0.1429,0.16,4,1,False,False
197,frame_0274.jpg,109.6,0.3788,0.5222,0.2857,0.16,7,2,False,False
198,frame_0323.jpg,129.2,0.3784,0.5374,0.2857,0.12,6,2,False,False
199,frame_0123.jpg,49.2,0.3769,0.4977,0.0,0.64,5,0,False,False
200,frame_0022.jpg,8.8,0.3768,0.2679,0.1429,1.0,5,1,False,False
201,frame_0122.jpg,48.8,0.376,0.5121,0.0,0.6,5,0,False,False
202,frame_0109.jpg,43.6,0.3756,0.5478,0.2857,0.08,8,2,False,False
203,frame_0172.jpg,68.8,0.3737,0.3302,0.4286,0.4,8,3,False,False
204,frame_0300.jpg,120.0,0.3726,0.4674,0.1429,0.48,7,1,False,False
205,frame_0083.jpg,33.2,0.3719,0.3164,0.2857,0.64,5,2,False,False
206,frame_0219.jpg,87.6,0.3687,0.438,0.2857,0.32,4,2,False,False
207,frame_0179.jpg,71.6,0.364,0.5086,0.2857,0.12,5,2,False,False
208,frame_0192.jpg,76.8,0.3631,0.389,0.4286,0.2,5,3,False,False
209,frame_0213.jpg,85.2,0.3626,0.4155,0.1429,0.56,3,1,False,False
210,frame_0329.jpg,131.6,0.3583,0.5132,0.2857,0.08,11,2,False,False
211,frame_0214.jpg,85.6,0.3573,0.4209,0.1429,0.52,3,1,False,False
212,frame_0217.jpg,86.8,0.3566,0.3818,0.2857,0.4,4,2,False,False
213,frame_0283.jpg,113.2,0.353,0.4123,0.1429,0.52,4,1,False,False
214,frame_0393.jpg,157.2,0.353,0.4328,0.4286,0.04,6,3,False,False
215,frame_0211.jpg,84.4,0.3504,0.3591,0.1429,0.64,4,1,False,False
216,frame_0102.jpg,40.8,0.3473,0.4751,0.2857,0.12,4,2,False,False
217,frame_0315.jpg,126.0,0.3442,0.469,0.2857,0.12,9,2,False,False
218,frame_0096.jpg,38.4,0.3427,0.4659,0.2857,0.12,7,2,False,False
219,frame_0272.jpg,108.8,0.3419,0.4803,0.2857,0.08,4,2,False,False
220,frame_0027.jpg,10.8,0.3412,0.2823,0.0,1.0,4,0,False,False
221,frame_0383.jpg,153.2,0.3408,0.3764,0.4286,0.12,6,3,False,False
222,frame_0233.jpg,93.2,0.3385,0.4952,0.1429,0.24,6,1,False,False
